,Concept,Unit
599,co2_permeability,cm3.cm.cm-2.s-1.cmHg-1
600,co2_permeability,g m^-2 day^-1
601,co2_permeability,cm^3 μm / m^2 day mmHg
602,co2_permeability,cm^3 (STP) cm / cm^2 s cmHg
603,co2_permeability,cm^3 / m s Pa
604,co2_permeability,cm^3 mm / (day m^2 atm)
605,co2_permeability,cc m / m^2 day atm
606,co2_permeability,g.mm.m-2.day-1.atm-1
607,co2_permeability,mol / m2 / s / Pa
608,co2_permeability,cm3.m-2.day-1.atm-1
609,co2_permeability,ng m / m^2 s Pa
610,co2_permeability,cm^3 mm / (m^2 atm day)
611,co2_permeability,g.m-1.s-1.Pa-1
612,co2_permeability,gr mil m-2 day-1
613,co2_permeability,mol m m-2 s-1 Pa-1
614,co2_permeability,cm3.μm.cm-2.day-1.kPa-1
615,co2_permeability,g.m-1.hr-1.Pa-1
616,co2_permeability,cc 100in-2 day-1
617,co2_permeability,g m / m^2 day atm
618,co2_permeability,g mm / kPa min m^2
619,co2_permeability,g / m day atm
620,co2_permeability,cm3 m-2 day-1
621,co2_permeability,cm3 µm m-2 d-1 kPa-1
622,co2_permeability,cc m-2 24h-1 atm-1
623,crystallization_point_temperature_number_of_repetitions,one
624,crystallization_point_temperature_number_of_repetitions,None
625,dielectric_permitivity,one
626,dielectric_permitivity,None
627,km,pascal
628,km,kilopascal
629,km,percent
630,km,wt %
631,km,Percentage
632,km,%
633,km,kPa
634,km,Pa
635,component_qty_value,mole by liter
636,component_qty_value,milliliter
637,component_qty_value,gram by square meter
638,component_qty_value,gram
639,component_qty_value,gram by reciprocal kilogram
640,component_qty_value,mole
641,component_qty_value,one
642,component_qty_value,percent
643,component_qty_value,None
644,component_qty_value,wt %
645,component_qty_value,Molar
646,component_qty_value,g
647,component_qty_value,Percentage
648,component_qty_value,ml
649,component_qty_value,%
650,component_qty_value,g kg^-1
651,component_qty_value,Mol
652,energy_at_break,millijoule by reciprocal cubic centimeter
653,energy_at_break,mJ.cm-3
654,partial_pressure_difference,millibar
655,partial_pressure_difference,pascal
656,partial_pressure_difference,bar
657,partial_pressure_difference,kilopascal
658,partial_pressure_difference,atmosphere
659,partial_pressure_difference,pound per square inch
660,partial_pressure_difference,hectopascal
661,partial_pressure_difference,percent
662,partial_pressure_difference,mbar
663,partial_pressure_difference,hPa
664,partial_pressure_difference,millibars
665,partial_pressure_difference,atm
666,partial_pressure_difference,wt %
667,partial_pressure_difference,Percentage
668,partial_pressure_difference,kPa
669,partial_pressure_difference,%
670,partial_pressure_difference,Pa
671,partial_pressure_difference,psi
672,frequency,reciprocal second
673,frequency,second-1
674,frequency,s-1
675,frequency,second power one
676,number_of_repetitions,one
677,number_of_repetitions,None
678,diffusivity,square meter by reciprocal second
679,diffusivity,argumentation
680,diffusivity,m2 s-1
681,diffusivity,m2.s-1
682,enthalpy_of_fusion,one
683,enthalpy_of_fusion,joule by reciprocal gram
684,enthalpy_of_fusion,Joule.gr-1
685,enthalpy_of_fusion,None
686,water_content,percent
687,water_content,Percentage
688,water_content,wt %
689,water_content,%
690,rrref,milliliter by reciprocal kilogram by reciprocal hour
691,young_modulus,megapascal
692,young_modulus,gigapascal
693,young_modulus,MPa
694,young_modulus,GPa
695,gab_c,one
696,gab_c,None
697,ki,pascal
698,ki,kilopascal
699,ki,percent
700,ki,wt %
701,ki,Percentage
702,ki,%
703,ki,kPa
704,ki,Pa
705,argument_number,one
706,argument_number,None
707,degradation_temperature_number_of_repetitions,one
708,degradation_temperature_number_of_repetitions,None
709,proteolysis,one
710,proteolysis,percent
711,proteolysis,None
712,proteolysis,wt %
713,proteolysis,Percentage
714,proteolysis,%
715,acetic_acid_qty,millimole by reciprocal kilogram
716,acetic_acid_qty,milligram by reciprocal kilogram
717,acetic_acid_qty,mg / kg
718,acetic_acid_qty,mmol.kg-1
719,partial_pressure,millibar
720,partial_pressure,pascal
721,partial_pressure,bar
722,partial_pressure,atmosphere
723,partial_pressure,milliliter per 100 milliliter
724,partial_pressure,hectopascal
725,partial_pressure,mbar
726,partial_pressure,hPa
727,partial_pressure,millibars
728,partial_pressure,atm
729,partial_pressure,ml / 100ml
730,partial_pressure,Pa
731,volatil_solubility,liter by reciprocal kilogram by reciprocal atmosphere
732,volatil_solubility,cubic meter by reciprocal kilogram
733,volatil_solubility,pascal by reciprocal milligram by reciprocal kilogram
734,volatil_solubility,cubic centimeter by reciprocal cubic centimeter by reciprocal atmosphere
735,volatil_solubility,atmosphere by reciprocal mole by mole
736,volatil_solubility,cubic centimeter by reciprocal cubic centimeter by reciprocal centimeter mercury
737,volatil_solubility,microgram by reciprocal gram
738,volatil_solubility,gram by reciprocal gram by reciprocal atmosphere
739,volatil_solubility,cubic centimeter by reciprocal cubic centimeter
740,volatil_solubility,cubic centimeter by reciprocal gram by reciprocal atmosphere
741,volatil_solubility,micromole by reciprocal gram
742,volatil_solubility,milliliter per 100 milliliter
743,volatil_solubility,millimole by reciprocal kilogram by reciprocal atmosphere
744,volatil_solubility,atmosphere by kilogram by reciprocal mole
745,volatil_solubility,mole by reciprocal gram by reciprocal atmosphere
746,volatil_solubility,milligram by reciprocal kilogram
747,volatil_solubility,kilogram by reciprocal kilogram by reciprocal pascal
748,volatil_solubility,mole by reciprocal kilogram by reciprocal pascal
749,volatil_solubility,µMole.gr-1
750,volatil_solubility,cm3.cm-3
751,volatil_solubility,Atm.Mole-1.Mole
752,volatil_solubility,l.kg-1.atm-1
753,volatil_solubility,kg kg-1 Pa-1
754,volatil_solubility,gr.gr-1.atm-1
755,volatil_solubility,cm3.cm-3.atm-1
756,volatil_solubility,Pa.mg-1.kg-1
757,volatil_solubility,µg.gr-1
758,volatil_solubility,cm3.cm-3.cm-1 Hg
759,volatil_solubility,cm3.gr-1.atm-1
760,volatil_solubility,mol.gr-1.atm-1
761,volatil_solubility,mol kg-1 Pa-1
762,volatil_solubility,mg / kg
763,volatil_solubility,ml / 100ml
764,volatil_solubility,Atm.kg.Mole-1
765,volatil_solubility,mmol.kg-1.atm-1
766,volatil_solubility,m3.kg-1
